Level,Number,Word
1,1,"I, me"
1,2,"see, vision sight"
1,3,you
1,4,hear
1,5,"think, mind brain, sense, mental, thinker"
1,6,"good, well"
1,7,"now, this, present"
1,8,"go, going attend, went"
1,9,"with along with, amid, accompany"
1,10,"boy, male"
1,11,"girl, female"
1,12,"he, she it, him, her, that, this, there, over there, point"
1,13,"they, those, them"
1,14,us
1,15,we
1,16,"that, this, it, which"
1,17,"come, come over, coming, return"
1,18,"look, look at, watch, observe"
1,19,"tree, trees, forest, woods, jungle"
1,20,"bird, chicken"
1,21,"in, within"
1,22,"drink, beverage, drinker"
1,23,"eat food, eater"
1,24,"play, frolic, party, player"
1,25,"house, cottage, shed, barn, dwelling"
1,26,"time, o'clock, date"
1,27,"morning, dawn"
1,28,"night, evening"
1,29,"later, after awhile, after a bit"
2,30,dog
2,31,cat
2,32,"big, *great, huge, large"
2,33,"little, small short"
2,34,"small, little, tiny"
2,35,"tall, high, height, adult"
2,36,"sit, sit down"
2,37,"like, favor, fond of"
2,38,don't like
2,39,school
2,40,college
2,41,"class, *family, *group, *organization, *team, *association, *society"
2,42,noon
2,43,afternoon
2,44,day
2,45,all day
2,46,"all night, overnight"
2,47,"daily, everyday, every day"
2,48,tonight
2,49,today
2,50,weekend
2,51,this
2,52,these
2,53,"my, mine"
2,54,"your, his, her, hers, its"
2,55,"yours, their, theirs"
2,56,"our, ours"
2,57,myself
2,58,"himself, herself, yourself, itself"
2,59,ourselves
2,60,"themselves, yourselves"
3,61,bad
3,62,"clean, nice, neat"
3,63,clean up
3,64,"into, enter, entrance"
3,65,to
3,66,from
3,67,"on, upon, onto, on top of"
3,68,off
3,69,"near, by, against, close"
3,70,for
3,71,"get, acquire, receive, obtain"
3,72,without
3,73,"not, don't, doesn't"
3,74,"no, refusal"
3,75,"yes, affirmative"
3,76,"work, task, *job, assignment, *industry, *function, *duty"
3,77,want
3,78,don't want
3,79,"sleep, asleep"
3,80,water
3,81,"soda, pop"
3,82,"Pepsi, Italy"
3,83,"Coca-Cola, Coke, vaccination, injection"
3,84,tea
3,85,"coffee, java"
3,86,chocolate
3,87,vanilla
4,88,"color, colorful, crayons"
4,89,pink
4,90,black
4,91,brown
4,92,tan
4,93,red
4,94,white
